"name","nok","usd","sector","ownership","country","id","type","voting"
"Funding Circle Holdings PLC","38656273","4383642","Technology","0.81","United Kingdom","7005","equities","0.81"
"GFT Technologies SE","147730877","16752761","Technology","1.21","Germany","1925","equities","1.21"
"GK Software SE","91825954","10413113","Technology","2.53","Germany","1926","equities","2.53"
"GLOBALFOUNDRIES Inc","183425361","20800535","Technology","0.06","Cayman Islands","8067","equities","0.06"
"Gamivo SA","5931348","672618","Technology","2.26","Poland","4916","equities","2.26"
"Gartner Inc","2149015787","243699555","Technology","0.89","United States","8040","equities","0.89"
"Gitlab Inc","786023597","89135502","Technology","0.71","United States","8060","equities","0.08"
"Global-e Online Ltd","114944974","13034822","Technology","0.14","Israel","8066","equities","0.14"
"Globant SA","1082522352","122758622","Technology","0.94","Luxembourg","8068","equities","0.94"
"GoDaddy Inc","1159170834","131450601","Technology","0.93","United States","8071","equities","0.93"
"Gooch & Housego PLC","18976987","2152001","Technology","0.52","United Kingdom","7015","equities","0.52"
"Greater Than AB","42993799","4875520","Technology","2.99","Sweden","5946","equities","2.99"
"Grid Dynamics Holdings Inc","28058825","3181886","Technology","0.13","United States","8091","equities","0.13"
"Groupe LDLC","72759290","8250943","Technology","2.02","France","1742","equities","1.41"
"Growens SpA","20506123","2325405","Technology","2.72","Italy","2869","equities","2.72"
"Guidewire Software Inc","593179401","67266866","Technology","0.71","United States","8098","equities","0.71"
"HP Inc","3913727202","443818786","Technology","1.09","United States","8165","equities","1.09"
"HansaMatrix AS","1648282","186916","Technology","1.01","Latvia","4491","equities","1.01"
"HashiCorp Inc","200704508","22760000","Technology","0.14","United States","8115","equities","0.02"
"Hewlett Packard Enterprise Co","438075712","49678023","Technology","0.24","United States","8142","equities","0.24"
"Hexagon AB","6949219173","788045221","Technology","1.84","Sweden","5950","equities","1.34"
"HubSpot Inc","2312111607","262194710","Technology","0.84","United States","8168","equities","0.84"
"IAC/InterActiveCorp","808712967","91708489","Technology","0.78","United States","8177","equities","0.5"
"II-VI Inc","351321173","39840011","Technology","0.55","United States","8185","equities","0.55"
"IPG Photonics Corp","505887289","57367893","Technology","0.63","United States","8242","equities","0.63"
"Ideal Group SA","5487415","622276","Technology","0.48","Greece","2067","equities","0.48"
"Impinj Inc","168012954","19052760","Technology","0.88","United States","8191","equities","0.88"
"Indra Sistemas SA","594188068","67381249","Technology","3.52","Spain","5822","equities","3.52"
"Infineon Technologies AG","13886933293","1574785763","Technology","2.6","Germany","1948","equities","2.6"
"Innovid Corp","133946779","15189637","Technology","1.92","United States","8202","equities","1.92"
"Insight Enterprises Inc","306206566","34723991","Technology","0.93","United States","8206","equities","0.93"
"Intel Corp","17920259438","2032167134","Technology","0.97","United States","8217","equities","0.97"
"International Business Machines Corp","8796020011","997473437","Technology","0.83","United States","8225","equities","0.83"
"Intuit Inc","12839035239","1455953556","Technology","0.8","United States","8233","equities","0.8"
"JFrog Ltd","129461786","14681037","Technology","0.51","Israel","8270","equities","0.51"
"Jabil Inc","859709492","97491522","Technology","0.97","United States","8257","equities","0.97"
"Jamf Holding Corp","141768913","16076672","Technology","0.36","United States","8262","equities","0.36"
"Jenoptik AG","283640175","32164950","Technology","1.33","Germany","1950","equities","1.33"
"Just Eat Takeaway.com NV","3435640703","389603518","Technology","3.33","Netherlands","4745","equities","3.33"
"KBR Inc","540343321","61275225","Technology","0.92","United States","8285","equities","0.92"
"KLA Corp","5273168908","597980213","Technology","0.92","United States","8304","equities","0.92"
"KNOW IT AB","44546009","5051542","Technology","0.56","Sweden","5971","equities","0.56"
"Kainos Group PLC","300234156","34046716","Technology","1.06","United Kingdom","7068","equities","1.06"
"Kalray SADIR","4767124","540594","Technology","0.26","France","1755","equities","0.26"
